apartment_name,appartment_loc,zone,bhk_type,construction_status,carpet_area,bulit_area,super_bulit_area,price_value,nearbylocation,facility,luxury_facility_scores,luxury_category
nambiar millennia,Sarjapur Road,east,1,Under Construction,,668.0,,0.53,"[('mahatma vidhyalaya', '400 m'), ('eterssrt mall', '6.5 kms'), ('tate highway-35 ', '6.9 kms'), ('parsh hospital', '7.5 km'), ('atma college', '8.5 km'), ('maruti concorde business park', '8.5 km'), ('aqua world amusement park', '17.2 km'), ('bangalore football stadium', '24.3 km'), ('yelachenahalli metro station', '26 km'), ('kempegowda international airport', '59.3 km')]","['Yoga/Meditation Area', ""Children's Play Area"", 'Jogging Track', 'Badminton Court', 'Skating Rink', 'Gymnasium', 'Club House', 'Swimming Pool', 'Amphitheatre']",69.0,medium
provident capella,Samethanahalli,east,1,New Property,,431.0,480.0,0.55,"[('soukya road', '1.4 km'), ('mvj college of engineering', '5.9 kms'), ('hri ram global school', '6.8 km'), ('new life hospital', '7.1 km'), ('forum shantiniketan mall', '9.7 km'), ('atal bihari botanical garden', '12.7 km'), ('radisson blu bengaluru orr', '16.3 km'), ('kempegowda international airport', '42.1 km'), ('bangalore international academy', '1.5 km')]","[""Children's Play Area"", 'Creche/Day Care', 'Jogging Track', 'Park', 'Gymnasium', 'Club House', 'Gazebo', 'Swimming Pool', 'Amphitheatre']",70.0,medium
brigade citre budigere cross,Byrathi,east,1,New Property,,619.0,689.0,0.69,"[('one world international school', '3.2kms'), ('outh east asian college', '6.6kms'), ('ri sai health care', '1.5km'), ('orion uptown mall', '450m'), ('nh ', '75850m'), ('whitefield station', '8km'), ('kempegowda international airport', '28.4km')]","['Pet Park', ""Children's Play Area"", 'Landscape Garden', 'Gymnasium', 'Swimming Pool', 'Changing Area', 'Multipurpose court']",50.0,medium
sattva east crest bandapura,Budigere Cross,east,1,New Property,,537.0,598.0,0.7,"[('prerana international school', '700 m'), (' hosakote road', '1.8 km'), ('orion uptown mall', '2.1 km'), ('speciality hospital', '3.4 km'), ('atal bihari botanical garden', '3.5 km'), ('garden city university', '6.3 km'), ('vivanta bengaluru', '10.8 km'), ('wipro technologies', '14.4 km'), ('nh', '64814.9 km'), ('ksr bengaluru city junction', '23.1 km'), ('kempegowda international airport', '25.7 km')]","['Banquet Hall', 'Creche/Day Care', ""Children's Play Area"", 'Park', 'Gymnasium', 'Club House', 'Swimming Pool', 'Lounge', 'Golf Course']",74.0,medium
sowparnika columns,Soukya Road,east,1,New Property,486.0,619.0,736.0,0.52,"['Whitefield Kadugodi Metro Station', 'Nexus Shantiniketan Mall', 'Soukya Road', 'NH648', 'Shri Ram Global School', 'MVJ College of Engineering', 'RKB Sanjeevini Hospital', 'Kempegowda International Airport', 'Devangonthi Railway Station']","['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",44.0,low
sattva east crest,Bandapura,east,1,Relatively New,384.0,497.0,598.0,0.65,"['Orion Uptown Mall', 'Raghuvanahalli - Hosakote Road', 'NH648', 'Prerana International School', 'Garden City University', 'East Point Multi-Speciality Hospital', 'Kempegowda International Airport', 'Atal Bihari Botanical Garden', 'KSR Bengaluru City Junction', 'Wipro Technologies', 'Vivanta Bengaluru']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'No open drainage around', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",123.0,medium
godrej splendour,Whitefield,east,1,New Property,,544.0,605.0,0.69,"['Whitefield (Kadugodi) Metro Station', 'Ascendas Park Square Mall', 'Whitefield Hoskote Road', 'Belathur Main Road', 'Orchids The International School', 'MVJ College of Engineering', 'Svyasa University', 'Miracle Hospital', 'Kempegowda International Airport', 'Whitefield Railway Station', 'GR Tech Park Office Space', 'Four Points by Sheraton Bengaluru', 'Battarahalli Indoor Stadium', 'Sky Zone Bengaluru']","['Intercom Facility', 'Lift(s)', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",107.0,medium
artha neo midas,Hoskote,east,1,Moderatly Old,,484.0,539.0,0.23,"['Dhruva Nursing Home And Diagnostic Centre', 'Kempanna Nursing Home', 'Sri Srinivasa Hospital Bengaluru Rural', 'Ashwini Hospital', 'Mission Hospital Bengaluru Rural', 'Shreyas Maternity Home', 'G E F Eye Hospital', 'Hoskote Government Hospital']","['Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",30.0,low
sowparnika ashiyana,Whitefield,east,1,New Property,,413.0,460.0,0.5,"['Kadugodi Metro Station', 'Nexus Shantiniketan Mall', 'NH648', 'Channasandra Main Road', 'MVJ College of Engineering', 'Shri Ram Global School', 'New Life Hospital', 'Kempegowda International Airport', 'KSR Bengaluru City Junction', 'Vivanta Bengaluru', 'Jupiter homes']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",116.0,medium
sankaalp residency,Coconut Grove Layout,east,1,Old,750.0,800.0,,0.22,"['Temple', 'Shiva', 'Hanuman', 'Hanuman Temple', 'Gethseman Sungji Church', 'Bethel Assembly of God Church', 'Ganesha Temple', 'Om Shakti Temple', 'Ganesha temple', 'Hdfc ATM', 'Geriatric Hospitals', 'Sri Venkateshwara Clinic', ""Dr. Sailaja's Super Speciality Eye Hospital"", 'Karunya Homoeopathy Centre', 'Urban Kids Clinic', ""Arjun's Child Care Clinic"", 'Nava Chaithanya Clinic', ""People's Clinic"", 'Stroke Treatment Paralysis', ""The Children's Clinic"", ""Women's Speciality Polyclinic"", 'Lifespan Diabetic Clinic', 'Motherhoodclinic', 'Jaya Dental Clinic', 'Veterinary Hospital', 'Shubham Ayurvedic Clinic', 'Asesh Dental Clinic', 'Eshawar HospItal', 'Bhagat Dental Clinic', 'R K Polyclinic', 'Bhagat Dental Clinic', 'Maneet Poly Clinic', ""Maruthi Medical's"", 'Dava Sagar', 'MedPlus', 'Chandru Medicals and General Stores', 'Apollo', 'Maruthi Medicals', 'State bank of india', 'Biryani House', 'Kalleshwari Rice corner', 'Starbucks', 'Ruchi', 'Ifun', 'Sweet Chariot Cafe', 'Chung Wak', 'Orchids The International School - Horamavu', 'Sunshine Childrens Home and School', 'St George High School', 'ProEmTech Infosytems Pvt. Ltd.']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Water Storage']",22.0,low
