apartment_name,appartment_loc,zone,bhk_type,construction_status,carpet_area,bulit_area,super_bulit_area,price_value,nearbylocation,facility
"Sattva Songbird Old Madras Road, Bangalore","Old Madras Road, Bangalore",east,1,Under Construction,510 sq.ft,,,1.1 Cr+ Charges,"[('rcb int school', '7.3 km'), ('garden city university', '9.1 kms'), ('s.n hospital', '6.7 km'), ('whitefield', '8.2 km'), ('kiab airport', '25 km'), ('park square mall', '11.6 km'), ('nh75', '700 m'), ('Whitefield (Kadugodi)', '9 km')]","[""Children's Play Area"", 'Park', 'Gymnasium', 'CCTV Camera Security', 'Club House', 'Intercom', 'Swimming Pool']"
"Brigade Sanctuary Chikkavaderapura, near Varthur","Chikkavaderapura, near Varthur",east,1,Under Construction,,,656 sq.ft,87.53 L+ Charges,"[('oakridge international school bangalore', '1.4 km'), ('arunoday degree college', '3.1 km'), ('town hospital sarjapura', '7.1 km'), ('kempegowda international airport', '46.4 km'), ('kidztopiaa', '4.9 kms'), ('nh35', '50 m'), ('workbee coworking', '3.2 km'), ('brookefield mall', '11.6 km'), ('carmelaram railway station', '7.9 km'), ('dbr suites sarjapur road', '5.5 km'), ('clover greens golf course', '12.3 kms'), ('r cricket ground', '3.5 km')]","[""Children's Play Area"", 'Creche/Day Care', 'Jogging Track', 'Park', 'Gymnasium', 'Club House', 'Gazebo', 'Swimming Pool', 'Amphitheatre']"
"Sobha Neopolis Panathur, Bangalore","Panathur, Bangalore",east,1,New Launch,435 sq.ft,,,89 L+ Charges,"[('sarah montessori school', '1.4 kms'), ('h ', '353.9 km'), ('aurbis business parks', '5 kms'), ('akra world hospital', '5.6 km'), ('kadubeesanahalli metro station', '5.4 km'), ('annamalai university bangalore', '6.1 km'), ('virginia mall', '6.4 km'), ('oakwood residence whitefield\xa0', '6.9 km'), ('atal bihari vajpayee stadium', '11 km'), ('karnataka golf association', '11.2 km'), ('ksr bengaluru city junction', '20.4 km'), ('kempegowda international airport', '43.4 km')]","['Yoga/Meditation Area', 'Jogging Track', 'Skating Rink', 'Lawn Tennis Court', 'Gymnasium', 'Basketball Court', 'Club House', 'Swimming Pool', 'Amphitheatre']"
"Nambiar Millennia Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",east,1,Under Construction,,668 sq.ft,,53.28 - 53.44 L+ Charges,"[('mahatma vidhyalaya', '400 m'), ('eterssrt mall', '6.5 kms'), ('tate highway-35 ', '6.9 kms'), ('parsh hospital', '7.5 km'), ('atma college', '8.5 km'), ('maruti concorde business park', '8.5 km'), ('aqua world amusement park', '17.2 km'), ('bangalore football stadium', '24.3 km'), ('yelachenahalli metro station', '26 km'), ('kempegowda international airport', '59.3 km')]","['Yoga/Meditation Area', ""Children's Play Area"", 'Jogging Track', 'Badminton Court', 'Skating Rink', 'Gymnasium', 'Club House', 'Swimming Pool', 'Amphitheatre']"
"Provident Capella Samethanahalli, Near Whitefield","Samethanahalli, Near Whitefield",east,1,Partially Ready To Move,,,390 - 570 sq.ft,44.63 - 65.23 L+ Charges,"[('soukya road', '1.4 km'), ('mvj college of engineering', '5.9 kms'), ('hri ram global school', '6.8 km'), ('new life hospital', '7.1 km'), ('forum shantiniketan mall', '9.7 km'), ('atal bihari botanical garden', '12.7 km'), ('radisson blu bengaluru orr', '16.3 km'), ('kempegowda international airport', '42.1 km'), ('bangalore international academy', '1.5 km')]","[""Children's Play Area"", 'Creche/Day Care', 'Jogging Track', 'Park', 'Gymnasium', 'Club House', 'Gazebo', 'Swimming Pool', 'Amphitheatre']"
"Brigade Citrine Budigere Cross, Bangalore","Byrathi, near Hennur Road",east,1,New Launch,,,689 sq.ft,68.89 L+ Charges,"[('one world international school', '3.2kms'), ('outh east asian college', '6.6kms'), ('ri sai health care', '1.5km'), ('orion uptown mall', '450m'), ('nh ', '75850m'), ('whitefield station', '8km'), ('kempegowda international airport', '28.4km')]","['Pet Park', ""Children's Play Area"", 'Landscape Garden', 'Gymnasium', 'Swimming Pool', 'Changing Area', 'Multipurpose court']"
"Sattva East Crest Bandapura, Old Madras Road","Budigere Cross, Bangalore",east,1,Ready To Move,,,598 sq.ft,70 L+ Charges,"[('prerana international school', '700 m'), (' hosakote road', '1.8 km'), ('orion uptown mall', '2.1 km'), ('speciality hospital', '3.4 km'), ('atal bihari botanical garden', '3.5 km'), ('garden city university', '6.3 km'), ('vivanta bengaluru', '10.8 km'), ('wipro technologies', '14.4 km'), ('nh', '64814.9 km'), ('ksr bengaluru city junction', '23.1 km'), ('kempegowda international airport', '25.7 km')]","['Banquet Hall', 'Creche/Day Care', ""Children's Play Area"", 'Park', 'Gymnasium', 'Club House', 'Swimming Pool', 'Lounge', 'Golf Course']"
"Akarsha Adarsh Parkland Panathur, Bangalore","Bandapura, Old Madras Road",east,1,New Launch,419.79 sq.ft,,,73.33 L+ Charges,"[('vibgyor rise school', '1.6 km'), ('brookefield multi speciality hospital', '5.6 km'), ('garden city university', '12.8 kms'), ('mvt bengaluru', '14.3 km'), ('kempegowda international airport', '45.2 km'), ('brookefield mall', '5.4 km'), ('nh44 ', '2.5 km'), ('atal bihari vajpayee stadium', '9.6 km'), ('karnataka golf association', '10.4 km'), ('indiranagar metro station', '12.6 km'), ('cessna business park', '2.6 km'), ('the ultimate entertainment hub', '10 km'), ('radisson blu bengaluru', '3.5 km')]","['Yoga/Meditation Area', 'Creche/Day Care', 'Squash Court', 'Badminton Court', 'Party Lawn', 'Gymnasium', 'Club House', 'Swimming Pool', 'Grocery Shop']"
"Mana Capitol Sarjapur Road, Bangalore","Panathur, Bangalore",east,1,Ready To Move,432.5 - 433 sq.ft,,,72.1 - 83.39 L+ Charges,"[('enzyme office complex', '300 m'), ('karmelaram railway station', '750 m'), ('bn speciality hospital', '3.3 km'), ('harvest international school', '3.5 km'), ('amrita vishwa vidyapeetham', '5.4 km'), ('centro mall', '6.0 kms'), ('arjapur highway', '6.1 km'), ('novotel hotel', '7.0 km'), ('atal bihari vajpayee stadium', '8.3 km'), ('kempegowda international airport', '46.6 km')]","['Banquet Hall', ""Children's Play Area"", 'Creche/Day Care', 'Park', 'Gymnasium', 'Club House', 'Swimming Pool', 'Amphitheatre', 'Terrace Garden']"
"Sobha Sentosa Balagere, near Panathur","Sarjapur Road, Bangalore",east,1,Under Construction,422.49 - 434.14 sq.ft,,,88.4 - 90.3 L+ Charges,"[('orchids the international school', '3.6 kms'), ('tata highway', '2.9 km'), ('brookefield mall', '5.1 km'), ('manipal hospital varthur road', '5.2 kms'), ('Seetharam Palya metro station', '7.2 km'), ('international tech park bangalore', '9.6 km'), ('belandur road', '3.1 km'), ('atal bihari vajpayee stadium', '11.8 km'), ('karnataka golf association', '11.9 km'), ('radisson bengaluru outer ring road', '5.6 km'), ('patel group of institutions', '6.5 km'), ('fun world amusement park', '21.3 km'), ('kempegowda international airport', '41.8 km')]","[""Children's Play Area"", 'Jogging Track', 'Skating Rink', 'Park', 'Basketball Court', 'Club House', 'Gazebo', 'Swimming Pool', 'Amphitheatre']"
