apartment_name,apartment_loc,facility
21st Castle Green Boulevard,Sarjapur Road,"['Squash Court', 'Yoga/Meditation Area', 'Basketball Court', 'Club House', ""Children's Play Area"", 'Swimming Pool', 'Jogging Track', 'Lawn Tennis Court', 'Gymnasium']"
2Gtula,Hoodi,"['Lounge', 'Creche/Day Care', ""Children's Play Area"", 'Swimming Pool', 'Park', 'Banquet Hall', 'Jogging Track', 'Theatre', 'Gymnasium']"
A Grade,Hebbal,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM']"
ACS Meghana and Shali Apartments,Banashankari Stage 2,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
AECS Layout RWA,Sanjayanagar,"['Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Rain Water Harvesting']"
AM Classic,Hongasandra,"['Security / Fire Alarm', 'Lift(s)', 'Water Storage']"
ARS Green Villae Rosaceae,Sompura,"['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
ARS Signature Homes,Kada Agrahara,"['Multipurpose court', 'Skating Rink', 'Amphitheatre', ""Children's Play Area"", 'Swimming Pool', 'Park', 'Jogging Track', 'Multipurpose Hall', 'Gymnasium']"
ARVD Bel Air,Yelahanka,"['Gymnasium', 'Aerobics Centre', 'Club House', ""Children's Play Area"", 'Jogging Track', 'Restaurant', 'Library', 'Swimming Pool', 'Gazebo']"
ARVD Godavari,Rachenahalli,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Fitness Centre / GYM', 'Club house / Community Center']"
ARVD Oasis,Nagasandra,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
ARVD Skylands,Jakkur,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
ARVD Sowparnika,Hulimavu,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']"
ARVDS Nethravati,Billekahalli,"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Piped-gas', 'Visitor Parking', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Waste Disposal']"
AWHO Sandeep Vihar,Whitefield,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
Aadhava Elite Homes K.Narayanapura,Chokkanahalli,"['Multipurpose Hall', 'Car Parking', 'Indoor Games', 'Banquet Hall', 'Community Hall', 'Jogging Track', 'Swimming Pool', ""Children's Play Area"", 'Gymnasium']"
Aakruti Amity,Shree Ananth Nagar Layout,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']"
Aakruti Amity Apartment,Ananth Nagar Phase 2,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']"
Aarena Guardiana,Ananth Nagar Phase 2,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
Aarna Aplounder,Ananth Nagar Phase 2,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage']"
Aarna Royal,Ananth Nagar Phase 2,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
Aarna Splendor,Electronic City Phase 2,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']"
Aarna Splendour,Electronic City Phase 2,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage']"
