apartment_name,nearbylocation
21st Castle Green Boulevard,"[('Indus International School', '230 m'), ('Azim Premji University', '1.5 km'), ('Pandana Hospital', '5.6 km'), ('Heelalige Railway Station', '16.9 km'), ('Attibele Road', '3.2 km'), ('D Mart', '5.9 km'), ('Wipro Limited', '13.2 km')]"
2Gtula,"[('Valistus International School', '5.9 km'), ('Garden City University', '4.9 km'), ('Patil Hospital', '3.2 km'), ('Hoodi Halt Railway Station', '2 km'), ('KR Puram Metro Station', '3.7 km'), ('Phoenix Marketcity', '5.6 km'), ('International Tech Park Bangalore', '2 km')]"
A Grade,"[('Baptist Hospital', '1.5 km'), ('Poornima Hospital', '2.0 km'), ('Sukrupa School', '1.8 km'), ('Hebbal Railway Station', '2.0 km'), ('Elements Mall', '2.5 km')]"
ACS Meghana and Shali Apartments,"[('Devagiri Hospital', '1.5 km'),('BNM Institute of Technology', '2.0 km')]"
AECS Layout RWA,"[('RMV Hospital', '1.5 km'), ('S. J. Hospital', '2.0 km'), ('Shiksha Sagar High School', '1.8 km'), ('New BEL Road', '1.5 km'), ('Nandhini Deluxe', '2.0 km')]"
AM Classic,"[('Kavya Hospital', '2.0 km'), ('St Francis ICSE School', '1.8 km'), ('Bommanahalli Metro Station', '1.5 km'), ('Vinayaka Specialty Hospital', '2.0 km'), ('Oxford HPS Hongasandra 2', '2.0 km')]"
ARS Green Villae Rosaceae,"[('Town Hospital Sarjapura', '3 km'), ('Balaji Nursing Home', '2 km'), ('Sri Lakshmi Multi Speciality Hospital', '2 km'), ('Sarjapur Main Road', '1 km'), ('Aikhyatha Public School', '3 km'), ('Forum Mall The Prestige City', '4 km'), ('Azim Premji University', '4 km')]"
ARS Signature Homes,"[('Harvest Cherubs Montessori', '1.1 km'), ('IRI Shrine PU College', '6.6 km'), ('Super Speciality Hospital', '1.3 km'), ('Karmelaram Railway Station', '10.1 km'), ('Sarjapur Road', '1 km'), ('Market Square Mall', '3 km'), ('RGA Techpark', '3 km')]"
ARVD Bel Air,"[('Aveksha Hospital', '4.1 km'), ('Doddaballapur Main Road', '3.2 km'), ('Yelahanka Junction', '4.6 km'), ('University of Agricultural Sciences', '5.4 km'), ('The Galleria Mall', '5.0 km'), ('Nagarjuna Pre University College', '3.0 km'), ('Yelahanka Metro Station', '5.0 km')]"
ARVD Godavari,"[('Sai Hospital', '1.5 km'), ('Srujan Dental Care', '1.0 km'), ('Samar International Islamic School', '1.0 km'), ('Tanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Elements Mall', '2.5 km'), ('REVA University', '3.0 km')]"
