apartment_name,zone,bhk_type,construction_status,carpet_area,bulit_area,super_bulit_area,price_value,nearbylocation,facility,luxury_facility_scores,luxury_category,Latitude,Longitude,apartment_loc,price_per_sqft,price_range,area_range
21st Castle Green Boulevard,east,3,Under Construction,,1019.0,1134.0,0.67,"[('indus international school', '230 m'), ('sazim premji university', '1.5 kms'), ('attibele rd', '3.2 km'), ('clover greens golf course', '4.8 kms'), ('pandana hospital', '5.6 km'), ('d mart', '5.9 km'), ('red riders gokarting', '12.5 km'), ('wipro limited', '13.2 km'), ('heelalige railway station', '16.9 km'), ('play arena', '17.8 km')]","['Squash Court', 'Yoga/Meditation Area', 'Basketball Court', 'Club House', ""Children's Play Area"", 'Swimming Pool', 'Jogging Track', 'Lawn Tennis Court', 'Gymnasium']",51.0,medium,12.8925,77.7795,Sarjapur Road,5908.289242,50L-1Cr,1000-1500 sqft
2Gtula,east,3,Under Construction,,1666.0,1854.0,1.52,"[('valistus international school', '5.9km'), ('patil hospital', '3.2km'), ('garden city university', '4.9km'), ('phoenix marketcity', '5.6km'), ('hoodi halt railway station', '2km'), ('kr pura metro station', '3.7km'), ('kempegowda international airport', '34.4km'), ('bhattarahalli indoor stadium', '3.9km'), ('karnataka golf association', '15.7km'), ('ms complex', '5.3km'), ('fantasy park', '4.4km'), ('the zuri whitefield', '4.1km')]","['Lounge', 'Creche/Day Care', ""Children's Play Area"", 'Swimming Pool', 'Park', 'Banquet Hall', 'Jogging Track', 'Theatre', 'Gymnasium']",104.0,medium,12.9875,77.7085,Hoodi,8198.489752,1.5Cr-2Cr,1500-2000 sqft
A Grade,north,3,Under Construction,,2157.0,2400.0,3.5,"['Mosque', 'Corporation bank ATM', 'Canara bank ATM', 'Citibank ATM', 'Uco ATM', 'Vijaya bank ATM', 'Baptist Hospital', 'Dattatreya Multispeciality Clinic', 'Sri Lakshmi Diagnostic Center', 'North Side Health Centre', 'CUPA Small Animals Hospital', 'TSR heart care', 'Asha Kiran Children & Women Health Care Centre', 'Vasan Eye Care Hospital R.T.Nagar', 'Poornima Hospital', 'Lakshmi Hospital Ganganagar', 'Dr. T.V.Ramesh Piles Hospital', 'Shree Vet Life Pharma', 'Srinidhi Pet Pharma', 'Shiv shakthi medicals', 'Trust Chemists Druggists', 'Popular Medical And General', 'RT Nagar Bus Depot', 'Bharat Petroleum', 'State bank of india', 'Canara bank', 'Indus bank', 'Icici bank', 'Federal bank', 'Axis bank', 'Allahabad bank', 'State bank of india', 'Udupi Park Inn', 'Udupi Brahmashree', 'Saaga', 'Star Hotel', 'Vishwenatha Naganahalli Indira Canteen', 'Hebbal Indira Canteen', 'Kabab Manor', 'All About Liquor', 'Punjabi Rasoi', 'Indira Canteen', 'Tiffin Centre', 'Sukrupa School', 'UAS School', 'Shiksha Sagar High School', 'National Bureau of Agriculturally Important Insects', 'Hebbal railway station', 'Akasmika', 'Rt nagar public library']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM']",84.0,medium,13.0365,77.5925,Hebbal,14583.33333,> 2Cr,2000-2500 sqft
ACS Meghana and Shali Apartments,south,2,Old,1372.0,1630.0,1837.01,1.5,"['Karnataka bank ATM', 'Syndicate bank ATM', 'Icici bank ATM', 'Devagiri Hospital', 'Dr Lal PathLabs', 'Bangalore Nethralaya', 'Banashankari Referal Hospital', 'Sri Krishna Hospital', 'Trinetra Polyclinic', 'Saraswathi Hospital Bengaluru Urban', 'City Health Care', 'MedPlus', 'State bank of india', 'Indian bank', 'Punjab national bank', 'Repco bank', ""Ammi's Biryani"", 'Ayda Restaurant', 'SLV fast food', 'Lakshmi bar', 'Pegs and pints', 'Nandhini Milk Booth', ""Kwality'S Ice Cream Parlour"", ""Vinny's"", 'Hari Super Sandwich', ""McDonald's"", 'Swadesh Tadka', 'Juicy Momo', 'Kati Zone', 'Rolls on Wheels', 'Pizza Hut', 'Goli Vada Pav', 'Hari Super Sandwich', ""Baskin Robin's"", 'Jalsa', 'Anand Bhavan', 'Smacznego', 'Tandoori Knight', 'Coffee Day', 'Casa Blanca', 'Roving Feast', 'J Cubez', 'Tandoor', 'Rasoi Restaurant', 'SLV Swadisth', 'Pure and Natural', 'BNM Institute of Technology', 'BNM Institute of Technology', 'MVJ PU College', 'Public library']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",136.0,medium,12.9412,77.5577,Banashankari Stage 2,8165.442758,1Cr-1.5Cr,1500-2000 sqft
AECS Layout RWA,north,4,Moderatly Old,2200.0,2614.0,2945.98,2.0,"['Sri Ramanjaneya Swamy Temple', 'Hdfc bank ATM', 'Citibank ATM', 'Axis bank ATM', 'Dhanalakshmi bank ATM', 'Citibank ATM', 'S. J. Hospital', 'Mamta Hospital Bengaluru Rural', 'Raj Mahal Vilas Hospital', 'RMV Hospital', 'Ayush Ayurvedic', ""Amma's ENT Clinic"", 'Clove Dental', 'RMV Medicals', 'IBP', 'Indian Oil', 'Vijaya bank', 'Karnataka bank', 'Axis bank', 'State bank of india', 'Corporation bank', 'Ing vysya bank', 'Indusland bank', 'Athithi', 'Brindavan Vaibhav', 'amerikhani', 'Hunan Chinese Restaurant', 'Food Bay', 'RMV Club', ""Domino's Pizza"", 'KFC', 'Nandhini Deluxe', 'Beijing Bites', 'Frozen Bottle', 'RMV Club', 'Burp', 'Nandini Palace', 'Freska', 'Paratha Shop', 'Old Madras Baking Company', 'Starbucks', 'Barista', 'Cafe Rossini', 'Tomatoes', 'Darasuni', 'Cafe Coffee Day', 'Polar Bear', 'Shiksha Sagar High School', 'Akasmika', 'Globals']","['Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Rain Water Harvesting']",99.0,medium,13.0179,77.5766,Sanjayanagar,6788.912348,1.5Cr-2Cr,> 2500 sqft
AM Classic,south,3,New Property,1190.0,1200.0,1352.4,0.95,"['Infant Jesus Church Hongasandra', 'Muneeshwara Swamy Temple', 'Temple', 'State bank of india ATM', 'Axis bank ATM', 'Vinayaka Health Care and Maternity Home', 'Ganesh Nursing Home Bengaluru Urban', 'Kavya Hospital', 'Nayantara Opticals', 'Kottakkal Arya Vaidya Sala', 'Vasan Eye Care Hospital', 'Vinayaka Specialty Hospital', 'Srushti Hospital Bengaluru Rural', 'Kanyashree Daignostics', 'Apollo Pharmacy', 'Trust Chemists & Druggists', 'Ram Medicals', 'Gogas Auto Lpg', 'Galaxy Paradise', 'State bank of india', 'Canara bank', 'Adda', ""Ammi's Biryani"", ""Domino's Pizza"", 'Svs HPS', 'Adarsha Edu Centre HPS Hongasandra 1', 'Mother Theresa HS Hongasandra 1', 'Oxford HPS Hongasandra 2', 'St Francis ICSE school', 'Bloosom Sch', 'GMPS Hongassandra', 'Gnanabharathi HPS Hongasandra 1', 'Mathas Education Society', 'Bright Future LPS Garvebhavi Palya', 'Anikethan Pub Sch Hongasandra 1', 'Rayen Kids', 'Sri Ram Driving School', 'The Oxford Dental College & Hospital', 'Ves HS Garvebhavi Palya', 'Rajrajeshwari HS Garvebhavi Palya', 'Sahyadri EHPS Garvebhavi Palya', 'Quinnox Inc', 'MetricStream Inc.', 'Tally Solutions Private Limited', 'Avaya', 'Mindteck', 'Hinduja Global Solutions Ltd.', 'Quartesian Clinical Research Pvt Ltd.', 'IRunway', 'Mando Softtech India Pvt Ltd']","['Security / Fire Alarm', 'Lift(s)', 'Water Storage']",164.0,high,12.8935,77.6224,Hongasandra,7024.54895,50L-1Cr,1000-1500 sqft
ARS Green Villae Rosaceae,east,2,Relatively New,888.0,1055.0,1188.98,0.65,"['Town Hospital', 'Balaji Nursing Home', 'Sri Lakshmi Multi Speciality Hospital', 'Ganesh Medicals', 'Atithi Sagar', 'Amruth Park Land']","['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",65.0,medium,12.8247,77.6974,Sompura,5466.870763,50L-1Cr,1000-1500 sqft
ARS Signature Homes,east,3,Under Construction,,1346.0,1498.0,0.44,"[('harvest cherubs montessori', '1.1 kms'), (' super speciality', '1.3 km'), ('karmelaram railway station', '10.1 kms'), ('iri shrine pu college', '6.6 km'), (' plh', '9.6 km'), (' kaverappa layout', '15.8 km'), ('kempegowda intl airport bengaluru', '61.9 km')]","['Multipurpose court', 'Skating Rink', 'Amphitheatre', ""Children's Play Area"", 'Swimming Pool', 'Park', 'Jogging Track', 'Multipurpose Hall', 'Gymnasium']",0.0,low,12.917,77.679,Kada Agrahara,2937.249666,< 50L,1000-1500 sqft
ARVD Bel Air,north,2,Under Construction,,1018.0,1133.0,1.1,"[('hoysala ground', '2.6 km'), ('max', '3 km'), ('doddaballapur main road', '3.2 km'), ('aveksha hospital', '4.1 km'), ('yelahanka junction', '4.6 km'), ('university of agricultural sciences', '5.4 km'), ('attide boutique hotel', '7.3 km'), ('canadian international school', '8.5 km'), ('peenya metro station', '10.3 km'), ('kempegowda international airport', '23.3 km')]","['Gymnasium', 'Aerobics Centre', 'Club House', ""Children's Play Area"", 'Jogging Track', 'Restaurant', 'Library', 'Swimming Pool', 'Gazebo']",87.0,medium,13.1005,77.5955,Yelahanka,9708.737864,1Cr-1.5Cr,1000-1500 sqft
ARVD Godavari,north,2,Relatively New,,838.0,932.0,0.55,"['Sri Shaneeswhara Swamy Devalaya', 'Maha Ganapati Temple', 'Hdfc bank ATM', 'Kotak mahindra bank ATM', 'Axis bank ATM', 'Andhra bank ATM', 'Union bank ATM', 'State bank of india ATM', 'Icici bank ATM', 'Srujan Dental Care', 'Sai Hospital', 'United Pharma', 'Ram Medicals', 'Sri Varsha Medicals and General Store', 'Krishna Medicals', 'Golden Palms Visitors Parking', 'Orchid-tree', 'Bharat Petroleum', 'Bharat Petroleum', 'Shell Petrol Pump', 'Kotak mahindra bank', 'State bank of india', 'Syndicate bank', 'Icici bank', 'Kotak mahindra bank', 'Corporation bank', 'State bank of india', 'Chai Point Juice Corner', 'Karthik Chicken Center', 'Five Star Chicken', 'Hotel Sri Durga Darshini', 'Budweiser', 'Pathankot', 'Sizzling Tandoor', 'KFC', 'Chung Wah', 'California Burrito', 'Subway', 'WOW momo', 'Food Court', 'Kinara', 'Aaha Andhra', 'Srujan Play Home', 'Manasa Public School', 'TLC Montessori Preschool', 'Samar International Islamic School', 'Tanisandra railway station', 'Nvidia', 'Alcatel Lucent India', 'Microsoft']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Fitness Centre / GYM', 'Club house / Community Center']",134.0,medium,13.0586,77.6316,Rachenahalli,5901.287554,50L-1Cr,< 1000 sqft
